id;primer_nombre;segundo_nombre;primer_apellido;segundo_apellido;primer_telefono;segundo_telefono
1;Card;transform;generating enterprise Surinam;Green virtual;capability Quality Up-sized;Home
2;Fantastic Central Usability;initiatives transmitter synthesize;digital;Cheese;driver;Ringgit payment blue
3;tan Central indexing;navigate transitional;Intelligent Cambridgeshire background;invoice;orange East;Loan facilitate Ball
4;calculating online;Chicken;Cambridgeshire deposit payment;Car Account;bandwidth;synergize framework
5;Investment Tuna Orchestrator;Director;Jewelery Garden payment;Table Salad Loan;Engineer Security Wooden;Architect vertical
6;Bike bypassing;evolve;HTTP Administrator;parallelism Rubber;calculating card invoice;eyeballs Interactions
7;capacitor Agent Trinidad;Account Cambridgeshire 24/7;interface Small next-generation;bus;Intranet;Internal
8;Legacy;port Berkshire;Hat Up-sized Intelligent;Meadow Health;digital;Optimization
9;Grocery vertical;AGP Tasty;Rubber Developer Response;seize;up;success front-end IB
10;withdrawal yellow compress;&;regional;array Automotive;generation;application Table interface
